Address,SoldPrice,Bedrooms,Bathrooms,AreaSqFt,PropertyType,Neighborhood
"41-43 Mallorca Way, San Francisco, CA, 94123",2750000,4.0,,2800.0,MULTI_FAMILY,San Francisco
"1800 Bryant St Apt 314, San Francisco, CA, 94110",971500,1.0,2.0,880.0,CONDO,San Francisco
"401 28th St, San Francisco, CA, 94131",1650000,2.0,2.0,1538.0,SINGLE_FAMILY,San Francisco
"35 Dolores St Apt 204, San Francisco, CA, 94103",775000,1.0,1.0,749.0,CONDOS,San Francisco
"1970 Sutter St Apt 107, San Francisco, CA, 94115",1089800,1.0,2.0,1041.0,CONDOS,San Francisco
"1601 Newhall St, San Francisco, CA, 94124",1175000,3.0,2.0,2025.0,SINGLE_FAMILY,San Francisco
"1483 Sutter St Unit 1207, San Francisco, CA, 94109",1130000,2.0,2.0,1403.0,CONDOS,San Francisco
"2655 15th Ave, San Francisco, CA, 94127",3000000,4.0,3.0,2358.0,SINGLE_FAMILY,San Francisco
"382 Green St Apt 3, San Francisco, CA, 94133",637000,1.0,1.0,462.0,CONDOS,San Francisco
"1336 Chestnut St, San Francisco, CA, 94123",3700000,3.0,2.0,,CONDOS,San Francisco
"250 King St Unit 536, San Francisco, CA, 94107",603000,1.0,1.0,,CONDOS,San Francisco
"3325 Pierce St, San Francisco, CA, 94123",3805000,3.0,3.0,,SINGLE_FAMILY,San Francisco
"3343 22nd St, San Francisco, CA, 94110",1078000,3.0,1.0,1695.0,CONDOS,San Francisco
"3675 Fillmore St Apt 202, San Francisco, CA, 94123",1100000,1.0,1.0,1020.0,CONDOS,San Francisco
"1408 31st Ave Apt 305, San Francisco, CA, 94122",1090000,2.0,2.0,1276.0,CONDOS,San Francisco
"1600 Anza St, San Francisco, CA, 94118",805814,1.0,1.0,775.0,SINGLE_FAMILY,San Francisco
"3770 24th St, San Francisco, CA, 94114",8400000,29.0,,17755.0,MULTI_FAMILY,San Francisco
"884 York St, San Francisco, CA, 94110",1140000,2.0,1.0,1350.0,CONDOS,San Francisco
"200 Cayuga Ave, San Francisco, CA, 94112",1850000,5.0,4.0,1791.0,MULTI_FAMILY,San Francisco
"1719-1721 Lyon St, San Francisco, CA, 94115",2725000,5.0,5.0,3620.0,MULTI_FAMILY,San Francisco
"126 Cole St, San Francisco, CA, 94117",2150000,4.0,1.0,2300.0,SINGLE_FAMILY,San Francisco
"2736 Bush St, San Francisco, CA, 94115",3250000,3.0,3.0,2489.0,CONDOS,San Francisco
"1200 Gough St Unit 3A, San Francisco, CA, 94109",940000,2.0,2.0,1500.0,CONDOS,San Francisco
"3118 Rivera St, San Francisco, CA, 94116",910000,3.0,1.0,1490.0,SINGLE_FAMILY,San Francisco
"2033-2035 Clement St, San Francisco, CA, 94121",1828000,5.0,,2226.0,MULTI_FAMILY,San Francisco
"2640 Alemany Blvd, San Francisco, CA, 94112",1180000,4.0,2.0,1187.0,SINGLE_FAMILY,San Francisco
"745 Clementina St Unit A, San Francisco, CA, 94103",1250000,1.0,1.0,3181.0,CONDOS,San Francisco
"25 Sierra St Apt E302, San Francisco, CA, 94107",1675000,3.0,2.0,1329.0,CONDOS,San Francisco
"41 Ridgewood Ave, San Francisco, CA, 94112",1075000,2.0,1.0,1237.0,SINGLE_FAMILY,San Francisco
"8400 Oceanview Ter Apt 210, San Francisco, CA, 94132",588000,1.0,1.0,669.0,CONDOS,San Francisco
"1177 California St Apt 1704, San Francisco, CA, 94108",600000,1.0,1.0,645.0,CONDOS,San Francisco
"280 Andover St, San Francisco, CA, 94110",2205000,3.0,2.0,1575.0,SINGLE_FAMILY,San Francisco
"3720 Webster St, San Francisco, CA, 94123",3650000,3.0,2.0,2850.0,SINGLE_FAMILY,San Francisco
"1915 Laguna St Apt 4, San Francisco, CA, 94115",650000,1.0,1.0,863.0,SINGLE_FAMILY,San Francisco
"980 Holloway Ave, San Francisco, CA, 94132",1285000,2.0,1.0,1590.0,SINGLE_FAMILY,San Francisco
"1 McCormick St, San Francisco, CA, 94109",4400000,4.0,4.0,3170.0,SINGLE_FAMILY,San Francisco
"417 Teresita Blvd, San Francisco, CA, 94127",1917500,3.0,2.0,1810.0,SINGLE_FAMILY,San Francisco
"714 London St, San Francisco, CA, 94112",1450000,3.0,3.0,1819.0,SINGLE_FAMILY,San Francisco
"637 Powell St Apt 401, San Francisco, CA, 94108",700000,2.0,1.0,1155.0,CONDOS,San Francisco
"209 18th Ave, San Francisco, CA, 94121",1350000,3.0,1.0,1212.0,CONDOS,San Francisco
"79-81 Homestead St, San Francisco, CA, 94114",1300000,4.0,4.0,1950.0,MULTI_FAMILY,San Francisco
"201 Sansome St Unit 1004, San Francisco, CA, 94104",1325000,2.0,2.0,1538.0,CONDOS,San Francisco
"1250 Jones St Unit 503, San Francisco, CA, 94109",1315000,1.0,1.0,1250.0,CONDOS,San Francisco
"1625 Vallejo St, San Francisco, CA, 94123",4800000,4.0,4.0,3675.0,SINGLE_FAMILY,San Francisco
"2169 Folsom St Apt M201, San Francisco, CA, 94110",1230000,2.0,1.0,1151.0,CONDOS,San Francisco
"999 16th St Apt 10, San Francisco, CA, 94107",840000,1.0,1.0,1110.0,CONDOS,San Francisco
"579 6th Ave Apt 202, San Francisco, CA, 94118",1105000,2.0,2.0,856.0,CONDOS,San Francisco
"678 Page St, San Francisco, CA, 94117",1405000,2.0,1.0,1309.0,CONDOS,San Francisco
"56 Guy Pl, San Francisco, CA, 94105",780000,1.0,1.0,888.0,CONDOS,San Francisco
"1181 Alabama St, San Francisco, CA, 94110",820000,1.0,1.0,,SINGLE_FAMILY,San Francisco
"569 Peralta Ave, San Francisco, CA, 94110",1350000,2.0,1.0,800.0,SINGLE_FAMILY,San Francisco
"710 Arguello Blvd, San Francisco, CA, 94118",1475000,3.0,3.0,1470.0,CONDOS,San Francisco
"1125 Leavenworth St, San Francisco, CA, 94109",1945000,4.0,3.0,2580.0,CONDOS,San Francisco
"331 Vicente St, San Francisco, CA, 94127",2800000,3.0,3.0,2368.0,SINGLE_FAMILY,San Francisco
"115 28th St, San Francisco, CA, 94131",1525000,2.0,2.0,,SINGLE_FAMILY,San Francisco
"72 Townsend St Unit 301, San Francisco, CA, 94107",700000,1.0,1.0,766.0,CONDOS,San Francisco
"1688 Pine St Unit W1203, San Francisco, CA, 94109",873000,1.0,1.0,713.0,CONDOS,San Francisco
"419 Garfield St, San Francisco, CA, 94132",1400000,4.0,2.0,1700.0,SINGLE_FAMILY,San Francisco
"15 Venus St, San Francisco, CA, 94124",850000,2.0,1.0,1183.0,SINGLE_FAMILY,San Francisco
"66 Cleary Ct Apt 603, San Francisco, CA, 94109",835000,3.0,2.0,1102.0,CONDOS,San Francisco
"1930 Mission St Unit 8, San Francisco, CA, 94103",550000,2.0,1.0,840.0,CONDOS,San Francisco
"791 26th Ave, San Francisco, CA, 94121",1958888,4.0,2.0,2196.0,SINGLE_FAMILY,San Francisco
"511 47th Ave, San Francisco, CA, 94121",1600000,2.0,1.0,1880.0,SINGLE_FAMILY,San Francisco
"235 Berry St Apt 307, San Francisco, CA, 94158",1160000,2.0,2.0,1235.0,CONDOS,San Francisco
